Question,Equation,Answer,Numbers
"Jason joined his school 's band . He bought a flute for $ number0 , a music stand for $ number1 , and a song book for $ number2 . How much did Jason spend at the music store ?",+ + number0 number1 number2,158.35,142.46 8.89 7.0
a box can hold number0 pieces of chalk . if there are number1 pieces of chalk how many boxes are full to hold all the chalk ?,/ number1 number0,193.5555555556,18.0 3484.0
"As Alyssa was searching through her couch cushions , she found number0 quarters , and number1 pennies in the couch . How much money in total does Alyssa have ?",+ * number0 0.25 * number1 0.01,3.07,12.0 7.0
annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party . jessica annie 's best friend is hosting the party . she plans on making pizza for everyone . if she bought number0 pieces of pepperoni number1 pieces of salami and number2 pieces of bacon as meat ingredients how many pieces of meat did she buy in total ?,+ + number0 number1 number2,55.0,15.0 10.0 30.0
mrs. smith gave number0 strawberries to number1 girls equally . how many strawberries did each girl get ?,/ number0 number1,6.625,53.0 8.0
"Adam bought number0 packages of cat food and number1 packages of dog food . Each package of cat food contained number2 cans , and each package of dog food contained number3 cans . How many more cans of cat food than dog food did Adam buy ?",- * number0 number2 * number1 number3,55.0,9.0 7.0 10.0 5.0
"Fred has number0 yellow balloons , Sam has number1 yellow balloons , and Mary has number2 yellow balloons . The balloons cost number3 dollars . How many yellow balloons do they have in total ?",+ + number0 number1 number2,18,5.0 6.0 7.0 5.0
"Rachel was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",* + number1 number2 number0,72.0,9.0 6.0 2.0
Tanner saved $ number0 in September . He saved $ number1 in October and $ number2 in November . Then Tanner spent $ number3 on a video game . How much money does Tanner have left ?,- + + number0 number1 number2 number3,41.0,17.0 48.0 25.0 49.0
Emily collects number0 cards . Emily 's father gives Emily number1 more . Bruce has number2 apples . How many cards does Emily have ?,+ number0 number1,70.0,63.0 7.0 13.0
"Jason went to the mall on Saturday to buy clothes . He spent $ number0 on shorts and $ number1 on a jacket . In total , how much money did Jason spend on clothing ?",+ number0 number1,19.02,14.28 4.74
lucy has an aquarium with number0 fish . she wants to buy number1 more fish . how many fish would lucy have then ?,+ number0 number1,280.0,212.0 68.0
"Vanessa and her mom were picking carrots from their garden . Vanessa picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",- + number0 number1 number2,7.0,17.0 14.0 24.0
Gavin has number0 shirts . number1 are blue the rest are green . How many green shirts does Gavin have ?,- number0 number1,17.0,23.0 6.0
Victor was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours . How much money did Victor make in those two days ?,* + number1 number2 number0,60.0,6.0 5.0 5.0
Lisa starts with number0 bananas . Maria gives Lisa number1 more . How many bananas does Lisa end with ?,+ number0 number1,99.0,91.0 8.0
december is a busy month for the toy store . they had number0 games on the shelf . number1 games were sold the first week . the store got number2 more games from the factory . how many games did they have then ?,+ - number0 number1 number2,74.0,95.0 68.0 47.0
Teresa starts with number0 bananas . She gets number1 more from Rachel . How many bananas does Teresa end with ?,+ number0 number1,54.0,52.0 2.0
"Dalton wants to buy a jump rope that costs $ number0 , a board game that costs $ number1 , and a playground ball that costs $ number2 . He has saved $ number3 from his allowance , and his uncle gave him $ number4 . How much more money does Dalton need to buy the jump rope , the game , and the ball ?",- + + number0 number1 number2 + number3 number4,4.0,7.0 12.0 4.0 6.0 13.0
"Dan has number0 violet marbles , he gave Mary number1 of the marbles . How many violet marbles does he now have ?",- number0 number1,50,64.0 14.0
Jorge scored number0 goals playing soccer last season . This season he scored number1 goals . What is the total number of goals Jorge scored ?,+ number0 number1,343.0,156.0 187.0
charlene made number0 bead necklaces . she sold number1 at a craft fair . she gave number2 to her friends . how many necklaces did charlene have then ?,- - number0 number1 number2,26.0,60.0 16.0 18.0
Carla has some marbles . She bought number0 marbles . Now she has number1 marbles . How many did she start with ?,- number1 number0,53.0,134.0 187.0
"Chloe was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",* + number1 number2 number0,54.0,6.0 5.0 4.0
"Jovana filled her bucket with number0 pounds of shells . If she adds number1 more pounds of shell to fill her bucket , how many pounds does she have ?",+ number0 number1,17.0,5.0 12.0
tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of $ number2 how much should tom pay ?,* number1 number2,9.0,1.0 3.0 3.0
when she came back to her mother she returned $ number0 worth of change . from the initial $ number1 that her mom gave her how much money in total did she spend on buying groceries ?,- number1 number0,73.0,27.0 100.0
for paige 's birthday she received number0 dollars from her friends and number1 dollars from her relatives . how much money did she get for her birthday ?,+ number0 number1,5.0,2.0 3.0
There are number0 dogwood trees currently in the park . Park workers will plant number1 more dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,+ number0 number1,83.0,34.0 49.0
"Kevin bought number0 watermelons . The first watermelon was number1 pounds , and the second watermelon was number2 pounds . How many pounds of watermelon did Kevin buy ?",+ number1 number2,14.02,2.0 9.91 4.11
if number0 pack of gum costs $ number1 how many packs of gum can you buy with $ number2 ?,/ number2 number1,8.0,1.0 2.0 16.0
haley collected number0 cans for recycling . if she put number1 cans in number2 bag how many cans did she have left ?,- number0 number1,2.0,9.0 7.0 1.0
"There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives , how many lives did they have total ?",* + number0 number1 number0,63.0,7.0 2.0 7.0
"At the arcade Cody won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets , how many would he have ?",- + number0 number2 number1,30.0,49.0 25.0 6.0
Benny has number0 blue marbles . Keith has number1 times more blue marbles than Benny . How many blue marbles does Keith have ?,* number0 number1,30.0,6.0 5.0
"Mary found number0 seashells , Melanie found number1 seashells , and Jason found number2 seashells on the beach . When they cleaned them , they discovered that number3 were cracked . How many seashells did they find together ?",+ + number0 number1 number2,100,45.0 23.0 32.0 31.0
luke had number0 dollars in january . by march he had spent number1 dollars . if he got another number2 dollars from his mom how much money would he have ?,+ - number0 number1 number2,58.0,48.0 11.0 21.0
There are number0 pencils and number1 crayons in the drawer . Dan took number2 pencils from the drawer . How many pencils are now in the drawer ?,- number0 number2,12,34.0 49.0 22.0
Lucy went to the grocery store . She bought number0 packs of cookies and number1 packs of noodles . How many packs of groceries did she buy in all ?,+ number0 number1,28.0,12.0 16.0
Sally had number0 pennies and number1 nickels in her bank . Her dad gave her number2 nickels and her mother gave her number3 nickels . How many nickels does Sally have now ?,+ + number1 number2 number3,18,8.0 7.0 9.0 2.0
"Faye and her mom were picking carrots from their garden . Faye picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",- + number0 number1 number2,16.0,23.0 5.0 12.0
"For the school bake sale Bianca made number0 cupcakes . If she sold number1 of them and then made number2 more , how many cupcakes would she have ?",- + number0 number2 number1,25.0,14.0 6.0 17.0
"At Mrs. Hilt 's house , there was number0 inches of snow , and Brecknock Elementary School received number1 inches of snow . How much more snow did Mrs. Hilt 's house have ?",- number0 number1,12.0,29.0 17.0
"Bridget has number0 Skittles . Henry has number1 Skittles . If Henry gives all of his Skittles to Bridget , how many Skittles will Bridget have ?",+ number0 number1,8.0,4.0 4.0
victor had $ number0 . for his allowance he got another $ number1 . how much money does he have total ?,+ number0 number1,18.0,10.0 8.0
Robin has number0 packages of gum . There are number1 pieces in each package . How many pieces of gum does Robin have ?,* number0 number1,486.0,27.0 18.0
A construction company bought number0 tons of gravel and number1 tons of sand . How many tons of material did the company buy in all ?,+ number0 number1,14.02,5.91 8.11
"Melanie , Benny , Sandy , and Jessica each have number0 dozen Pokemon cards . How many Pokemon cards do they have in all ?",* * number0 12.0 4.0,432.0,9.0
"Fred earns $ number0 an hour cleaning houses . If he works for number1 hours , how much money will he make ?",* number0 number1,100.0,12.5 8.0
mrs. hilt read number0 books . each book had number1 chapters in it . how many chapters did mrs. hilt read ?,* number0 number1,68.0,4.0 17.0
"During a visit to an orchard , Charlie picked number0 bag of Golden Delicious apples , number1 bag of Macintosh apples , and number2 bag of Cortland apples . How many bags of fruit did Charlie pick in total ?",+ + number0 number1 number2,0.6666666666666666,0.16666666666666666 0.16666666666666666 0.3333333333333333
matthew had number0 crackers . if matthew gave equal numbers of crackers to his number1 friends how many crackers did each person eat ?,/ number0 number1,3.0,27.0 9.0
Tom found number0 seashells on the beach . he gave Jessica number1 of the seashells . How many seashells does he now have ?,- number0 number1,3.0,5.0 2.0
"Brandy made trail mix for a backpacking trip . She used number0 pound of peanuts , number1 pound of chocolate chips , and number2 pound of raisins . How many pounds of trail mix did Brandy make ?",+ + number0 number1 number2,0.4166666666666667,0.16666666666666666 0.16666666666666666 0.08333333333333333
there are number0 boys and number1 girls in a preschool daycare . how many children are there in the daycare ?,+ number0 number1,9.0,4.0 5.0
"There are number0 gallons of water in Becky 's fish tank . If Becky adds number1 gallons more , how many gallons will there be in all ?",+ number0 number1,14.75,7.75 7.0
Willie has number0 bananas . Charles has number1 bananas . He loses number2 . How many bananas will Willie have ?,- number0 number2,13.0,48.0 14.0 35.0
lana had number0 extra nickels . if she put them into stacks with number1 in each stack how many stacks could she make ?,/ number0 number1,9.0,72.0 8.0
after a week sofia did a survey to ask if the students liked the new menu . she found out that number0 students liked the new menu while number1 did n't . how many students took part in sofia 's survey ?,+ number0 number1,400.0,235.0 165.0
it 's valentine 's day in the city and mayor harvey wants to celebrate by giving the institutions for women some flowers . his first beneficiary was the nursing home for old women . he bought number0 sets of flowers number1 pieces each . how many flowers did he buy for the nursing home ?,* number0 number1,270.0,3.0 90.0
there are number0 students in the class and number1 skittles . if the skittles are divided equally among the students how many does each student get ?,/ number1 number0,3.0,9.0 27.0
There are number0 birds on the fence . number1 more birds land on the fence . How many birds are on the fence ?,+ number0 number1,20.0,12.0 8.0
"There are number0 candies in Kathy 's candy collection . If the candies are organized into number1 groups , how big is each group ?",/ number0 number1,3.0,30.0 10.0
"At the fair Adam bought number0 tickets . After riding the ferris wheel he had number1 tickets left . If each ticket cost number2 dollars , how much money did Adam spend riding the ferris wheel ?",* - number0 number1 number2,81.0,13.0 4.0 9.0
"There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives , how many lives did they have total ?",* + number0 number1 number2,12.0,2.0 2.0 3.0
mike owned number0 baseball cards . for his birthday he got number1 more . how many cards does mike have total ?,+ number0 number1,82.0,64.0 18.0
jane has number0 old brown sheets of drawing paper and number1 old yellow sheets of drawing paper . how many pieces of drawing paper does she have ?,+ number0 number1,55.0,28.0 27.0
shiela was into history of asia . she can read number0 pages per hour of the book entitled `` asia 's history made easy '' . if the encyclopedia has number1 pages how many hours did it take shiela to finish reading the book ?,/ number1 number0,13.0,11.0 143.0
number0 students are going to the zoo . They have to be divided into groups so that each teacher has one group . There are number1 teachers . How many students will be in each group ?,/ number0 number1,32.0,256.0 8.0
for halloween bianca received number0 pieces of candy . she ate number1 pieces then placed the rest into piles with number2 in each pile . how many piles could she make ?,/ - number0 number1 number2,5.0,17.0 2.0 3.0
elizabeth studied number0 minutes for her science test . she studied number1 minutes for her math test . how long did elizabeth study altogether ?,+ number0 number1,60.0,25.0 35.0
"They entered the circus tent and saw that there are number0 sections for the audience . If each section can accommodate number1 people , how many people can the tent accommodate in total ?",* number0 number1,984.0,4.0 246.0
at band practice there were number0 rows of students with number1 students in each row and then another number2 students in the back . how many students were there total ?,+ * number0 number1 number2,41.0,4.0 8.0 9.0
"A florist had number0 roses . If she sold number1 of them and then later picked number2 more , how many roses would she have ?",- + number0 number2 number1,40.0,37.0 16.0 19.0
christian and his parents went to mt . falton national park for the weekend . they were welcomed warmly by the rangers who invite volunteers and call them `` earth keepers '' . the junior ranger asked christian to help him place number0 seedlings in packets . if every packet needs to contain number1 seeds how many packets do they need ?,/ number0 number1,60.0,420.0 7.0
Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet . How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?,* number0 number1,120.0,30.0 4.0
Bob ’ s car gets number0 kilometers per gallon . How far can he drive on number1 gallons of gas ?,* number0 number1,100.0,10.0 10.0
Scott has number0 tickets . Ernest has with number1 tickets . Ernest finds another number2 . How many tickets does Ernest end with ?,+ number1 number2,81.0,4.0 9.0 72.0
her mom also baked some cookies . if she baked number0 pans of cookies and there are number1 cookies per pan how many cookies did her mom bake for her birthday ?,* number0 number1,40.0,5.0 8.0
Dan grew number0 turnips and number1 cantelopes . Jessica grew number2 turnips . How many turnips did they grow in total ?,+ number0 number2,89,42.0 38.0 47.0
"At the fair there were number0 people in line for the bumper cars . If number1 of them got tired of waiting and left and number2 more got in line , how many people would be in line ?",- + number0 number2 number1,11.0,7.0 4.0 8.0
Keith has number0 books . Jason has number1 books . How many books do they have together ?,+ number0 number1,41,20.0 21.0
for a new year 's party number0 red balloons number1 green balloons and number2 white balloons were used . what is the total number of balloons used ?,+ + number0 number1 number2,20.0,2.0 12.0 6.0
"An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 liters of oil leaked into the water . While the engineers worked , the pipe leaked number1 liters of oil . In all , how many liters of oil leaked into the water ?",+ number0 number1,11687.0,6522.0 5165.0
you have collected number0 crickets . how many more crickets do you need to collect to have number1 crickets ?,- number1 number0,4.0,7.0 11.0
"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit , how many extra did the cafeteria end up with ?",- + number0 number1 number2,32.0,25.0 17.0 10.0
"In a video game , each enemy defeated gives you number0 points . If a level has number1 enemies total and you destroy all but number2 of them , how many points would you earn ?",* - number1 number2 number0,72.0,9.0 11.0 3.0
ramon works at the supermarket . he put number0 boxes of choco delights on the shelf . there were already number1 boxes there . later that day ramon counted number2 boxes on the shelf . how many boxes of choco delights were missing ?,+ - number0 number2 number1,19.0,26.0 15.0 22.0
"A bathing suit manufacturer has a supply of number0 bathing suits for men . In addition , it has number1 bathing suits for women . How many bathing suits are available overall ?",+ number0 number1,19766.0,14797.0 4969.0
next food item she has to prepare is soup . she needs number0 cups of mushroom soup . if the first team made number1 cups and the third team made number2 cups how any cups should the second team prepare in order to meet the required amount of soup ?,- number0 + number1 number2,120.0,280.0 90.0 70.0
"Emily 's team won their dodgeball game and scored number0 points total . If Emily scored number1 of the points and everyone else scored number2 points each , how many players were on her team ?",/ - number0 number1 number2,8.0,39.0 23.0 2.0
last thursday drew had $ number0 . over the weekend he received some money for cutting the grass . he now has $ number1 . how much money did he get paid for cutting the grass ?,- number1 number0,31.0,30.0 61.0
"If Joan bicycled number0 miles at number1 miles per hour , how long was Joan travelling ?",/ number0 number1,5.0,25.0 5.0
James rode number0 miles at number1 miles per hour . How long did James ride ?,/ number0 number1,5.0,80.0 16.0
Gwen bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures . How many pictures does she still have to color ?,- + number0 number1 number2,36.0,10.0 39.0 13.0
zoe picked number0 apples from her tree . now the tree has number1 apples still on it . what 's the difference between the number of apples zoe picked and now the tree has ?,- number1 number0,1.0,5.0 6.0
the difference between number0 numbers is number1 the smaller number is number2 what is the larger number ?,+ number1 number2,70.0,2.0 24.0 46.0
faye picked number0 flowers for her friend 's wedding . she was making bouquets with number1 flowers in each one . if number2 of the flowers wilted before the wedding how many bouquets could she still make ?,/ - number0 number2 number1,8.0,88.0 5.0 48.0
a group of number0 friends went into a restaurant . the chef already had number1 chicken wings cooked but cooked number2 more for the group . if they each got the same amount how many would each person get ?,/ + number1 number2 number0,3.0,9.0 2.0 25.0
"At a pizza party , Mason and his friends drank number0 bottles of lemon - lime soda and number1 bottles of cola . How much soda did they drink in all ?",+ number0 number1,5.333333333333333,2.6666666666666665 2.6666666666666665
"At Billy 's Restaurant a group with number0 adults and number1 children came in to eat . If each meal cost number2 dollars , how much was the bill ?",* + number0 number1 number2,21.0,2.0 5.0 3.0
Megan had number0 markers . Robert gave her number1 more markers . How many markers does Megan have altogether ?,+ number0 number1,88.0,49.0 39.0
There are number0 bottle caps in each box . How many bottle caps are in number1 boxes ?,* number0 number1,54.0,9.0 6.0
jerry owned number0 video games . for his birthday he got number1 more . how many games did jerry have total ?,+ number0 number1,9.0,7.0 2.0
lastly rob compared canada 's cn tower and seattle 's space needle . how tall is the space needle if the cn tower stands at number0 m high and it is taller than the space needle by number1 m ?,- number0 number1,184.0,553.0 369.0
if simon needs to make number0 gift bags at a rate of number1 bags per day how many days does he need to finish making all the gift boxes ?,/ number0 number1,12.3571428571,519.0 42.0
Emily was playing a trivia game . In the first round she scored number0 points and in the second round she scored number1 points . In the last round she lost number2 points . How many points did she have at the end of the game ?,- + number0 number1 number2,1.0,16.0 33.0 48.0
Sam had number0 pennies in his bank . He spent number1 of his pennies . How many pennies does he have now ?,- number0 number1,5.0,98.0 93.0
"Robin had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs , how many songs does she have on her mp3 player ?",- + number0 number2 number1,32.0,30.0 8.0 10.0
Misha has number0 dollars . How many dollars does she have to earn to have number1 dollars to buy a dog ?,- number1 number0,13.0,34.0 47.0
"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points , how many points were scored total ?",* - number0 number1 number2,27.0,15.0 6.0 3.0
there were number0 bales of hay in the barn . keith stacked more bales in the barn today . there are now number1 bales of hay in the barn . how many bales did he store in the barn ?,- number1 number0,67.0,22.0 89.0
professor treehead of the flora university requested his students to participate . he said that they planted number0 species of trees in the natural park number1 species of trees in the neighboring forest and number2 species of trees all around different locations in town . how many species of trees were planted by the students ?,+ + number0 number2 number1,45.0,15.0 20.0 10.0
at the carnival number0 friends bought number1 tickets total . if they each bought the same amount how many tickets did each person buy ?,/ number1 number0,39.0,6.0 234.0
stanley a car enthusiast loves to drive across different places as a hobby . so for his vacation he decided to go around his favorite places . his first destination is the famous sky falls number0 of the tallest waterfalls in his country . it is said to be number1 times as tall as the tallest building in their city . if the building is number2 feet tall how tall is sky falls ?,* number1 number2,180.0,1.0 20.0 9.0
"A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them , how many more problems does she have to grade ?",* - number1 number2 number0,63.0,7.0 17.0 8.0
Sam went to number0 football games this year . He went to number1 games last year . How many football games did Sam go to in all ?,+ number0 number1,43,14.0 29.0
katie had number0 math problems for homework . if she finished number1 of them on the bus ride home how many more did she have to do ?,- number0 number1,4.0,9.0 5.0
A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin how many would be in the bin ?,- + number0 number2 number1,27.0,34.0 20.0 13.0
paige raised number0 goldfish in the pond but stray cats loved eating them . now she has number1 left . how many goldfish disappeared ?,- number0 number1,11.0,15.0 4.0
A car company produced number0 cars in North America and number1 cars in Europe . How many cars is that in all ?,+ number0 number1,6755.0,3884.0 2871.0
"Albert ’ s cabbage patch has number0 rows of cabbage . In each row , there are number1 heads of cabbage . How many heads of cabbage does Albert have in all ?",* number0 number1,180.0,12.0 15.0
A bee has number0 legs . How many legs do number1 bees have ?,* number0 number1,48.0,6.0 8.0
haley grew number0 trees in her backyard . after a typhoon number1 died . how many trees does she have left ?,- number0 number1,11.0,16.0 5.0
frank had number0 boxes . if he filled number1 with toys how many boxes does he still have ?,- number0 number1,5.0,13.0 8.0
"John had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones , how many socks would he have ?",- + number0 number2 number1,27.0,33.0 19.0 13.0
rangers from flora natural park and wildlife reserve also joined the activities on that day . they planted number0 redwood trees and number1 cypress trees to replace the trees that were destroyed during a recent forest fire . how many trees did the rangers plant ?,+ number0 number1,100.0,75.0 25.0
"A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms , how much longer will he take to paint the rest ?",* - number0 number2 number1,24.0,12.0 3.0 4.0
A number0 ounce can of cranberry juice sells for number1 cents . What is the cost in cents per ounce .,/ number1 number0,7.0,12.0 84.0
"Haley has number0 magazines in her cabinet . She plans to send it to the recycling office in their area . If she places it in boxes which can contain number1 magazines , how many boxes will Hayley use ?",/ number0 number1,7.0,63.0 9.0
luke was played number0 rounds of a trivia game and scored number1 points . if he gained the same number of points each round how many points did he score per round ?,/ number1 number0,60.0,5.0 300.0
"There are number0 students in the class and number1 eggs . If the eggs are divided equally among the students , how many does each student get ?",/ number1 number0,8.0,7.0 56.0
"A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window , how long will it take him to install the rest ?",* - number0 number1 number2,36.0,14.0 5.0 4.0
james had number0 stickers . he got some more stickers for his birthday . then he had number1 stickers . how many stickers did james get for his birthday ?,- number1 number0,22.0,39.0 61.0
adam has number0 more apples than jackie . jackie has number1 apples . how many apples does adam have ?,+ number0 number1,14.0,5.0 9.0
during halloween she was able to get a lot of candies from trick or treating . she decided to give away some of them to the homeless kids nearby . if she has number0 candies and gave away number1 how many does she have left ?,- number0 number1,20.0,60.0 40.0
Lucy has number0 fish . How many more fish does she need to buy to have number1 fish ?,- number1 number0,68.0,212.0 280.0
a trivia team had number0 members total but during a game number1 members did n't show up . if each member that did show up scored number2 points how many points were scored total ?,* - number0 number1 number2,12.0,9.0 3.0 2.0
"Bryan took a look at his books as well . If Bryan has number0 books in each of his number1 bookshelves , how many books does he have in total ?",* number0 number1,504.0,56.0 9.0
"At the arcade Edward won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets , how many would he have ?",- + number0 number1 number1,9.0,9.0 4.0 4.0
If number0 of number1 pets are cats . How many are cats ?,* number0 number1,4.0,0.5 8.0
there are number0 butterflies . each butterfly has number1 black dots and number2 yellow dots . how many black dots are there in all ?,* number0 number1,4764.0,397.0 12.0 17.0
My car gets number0 miles per gallon . How many miles can I drive on number1 gallons of gas ?,* number0 number1,100.0,20.0 5.0
a garden has number0 rows and number1 columns of bean plants . how many plants are there in all ?,* number0 number1,780.0,52.0 15.0
Sara has number0 marbles . She loses number1 . How many marbles will Sara have ?,- number0 number1,3.0,10.0 7.0
"At the town carnival Billy rode the ferris wheel number0 times and the bumper cars number1 times . If each ride cost number2 tickets , how many tickets did he use ?",* + number0 number1 number2,50.0,7.0 3.0 5.0
Jose has number0 peanuts . Kenya has number1 more than Jose . How many peanuts does Kenya have ?,+ number0 number1,133.0,85.0 48.0
Isabel uploaded number0 pictures to Facebook . She put number1 pics into one album and put the rest into number2 different albums . How many pictures were in each album ?,/ - number0 number1 number2,3.0,25.0 10.0 5.0
